作者,段子内容 
歌歌哒f,记得第一次弄了辆车，有天开着开着感觉有异响就去店里让师傅看看，师傅看了看道：没事、小问题不影响，我也就没管了，没过几天感觉有点不对声音越来越大了又去时师傅还是对我说：“小问题、没事、没事”……又过了几天实在不行了我再去时师傅“哦豁”了一声，我问：“咋了”师傅：这下问题大了……
歌歌哒f,我们小区没物业，大门是自己锁，所以每家都配了钥匙，晚上想吃烧烤，看着正在写作业的小侄子我问道：吃烧烤去不去，侄子一合课本：走！出去时大门已经锁了，我拿出钥匙开门后又把大门锁上就和小侄子去吃烧烤了，回来时发现钥匙丢了，我：要不你打电话喊你奶奶送钥匙下来？侄子：要打你打，我作业都没做完就跟你出来，我不想被骂，我两同时沉默了，忽然我想起一个知识点指着铁大门对侄子说：你看下你头能不能钻进去，如果能身体就可以过去，这样你就可以上楼把钥匙拿来了侄子想了想同意了，于是我两同时使劲把他头了塞进去，结果发现他身体根本进不去、头还特么出不来了………
咕叽咕叽叽里呱啦,我们小区没物业，大门是自己锁，所以每家都配了钥匙，晚上想吃烧烤，看着正在写作业的小侄子我问道：吃烧烤去不去，侄子一合课本：走！出去时大门已经锁了，我拿出钥匙开门后又把大门锁上就和小侄子去吃烧烤了，回来时发现钥匙丢了，我：要不你打电话喊你奶奶送钥匙下来？侄子：要打你打，我作业都没做完就跟你出来，我不想被骂，我两同时沉默了，忽然我想起一个知识点指着铁大门对侄子说：你看下你头能不能钻进去，如果能身体就可以过去，这样你就可以上楼把钥匙拿来了侄子想了想同意了，于是我两同时使劲把他头了塞进去，结果发现他身体根本进不去、头还特么出不来了………
五少爷的刀,早上醒来，发现竟然睡在大门外面，而我的怀里，竟然躺着一只狗狗！看着醉成了一滩泥的狗狗，我懵圈了：难道昨天晚上陪我喝酒的，竟然是这只狗狗？我还搂着它，一口一个兄弟乱叫？？
冰清素云,我跟舍友最近吃得有点重 口 味，舍友爱吃螺 蛳 粉，我爱吃菠 萝 蜜，这两样东西味儿重，每次吃屋里都飘着一大股味道，时间一长，我倒是习惯了。这段时间舍友​的妹妹来借宿一阵子，这小姑娘也不知道咋了，胃肠好像不太好，一天投放无数次du气 弹，我打趣她说:姑娘家家的，这pi放的还挺有节奏。小姑娘倒是不害羞，她说:阿姐，这我想憋也憋不住啊，​我看你和我姐每天都吃气味那么重的东西，我觉得你应该不会介意这个的……
诺诺真漂亮,跟老公吵架，气得我呼呼的！跑院子里消消气，忽然想起昨天买了绳子准备扎个秋千的，与其生闷气不如动手做点事呢！拿起绳子套到树上，打了个死结，用力扯了扯，没有松，我这力气有点小啊，扯不掉很正常，要换个什么来试试，正想着，看到老公在不远处探头探脑的，我瞪他：过来！试试结实不！老公愣了愣，一脸的不情愿，慢慢挪了过来，我把绳子递给他，他想了想，一咬牙，一闭眼，把头神了进去……
诺诺真漂亮,这几天高温，感觉要被晒化了，这两天碰巧有事需要外出，一身的防晒装备捂得相当严实，帽子口罩墨镜防晒衣，九分裤我还给配了双长袜，反正没有一寸皮肤漏外面。昨天中午我去搭巴车，车上人挺多，有好多没戴口罩的，那时听到跟车售票员跟他们讲注意防护什么的，看到我上车，售票员让我在前面站一会儿，她指着我对大家说:看到了吧，这位美女的防护做的就很到位，不管是防晒还是预防疫情，你们都应该学习一下。开车​一小时后……我晕车反胃直犯恶心，这时坐我边上的那个人看到了大声说:看嘛，大热天捂这么严实还让我们学习呢，这都捂中暑了都……
小猴子(houdk…,千万别和化学学的好吵架，比如他说你是元素周期表的第51位元素(骂人不带吐脏字的)，如果你不知道这个元素是什么，你都不知道怎么回嘴。
空城旧梦她与伞,我很小就学会下象棋，自认为棋艺不错。十八九岁时，周围几个村子几乎是打遍天下无敌手，好几个白胡子大爷都栽在我手里。那天镇上一个比我大两岁的哥们来找我下棋，可他棋艺实在太差，连续三盘我都是杀得他丢盔弃甲。这哥们心服口服，说要拜我为师，我看他棋艺实在太差，拒绝了，这哥们不放弃，仍然常常跑我家来，我不在的时候，他就找我姐姐下棋。两个月后，当我看到他牵着我姐姐的手，在街上破了一个棋摊大爷摆的残局，我才知道，他是真正的下棋高手，下了一盘好大的棋！！
空城旧梦她与伞,那年那人那山第二十二章：红军家里红军见秀芬什么都不肯说，不方便再问，载着她原路返回到了建筑公司门口。　　她不知道该不该把这件事告诉父亲，在门口双手抱头久久不想说话。红军坐到她的旁边，轻轻拍了拍她的肩膀道：“别难过了，我不知道发生了什么事，但能感觉出来，一定不是小事，你还小，自己处理不了的，那就交给叔叔吧，毕竟他是一家之主，看问题会比较全面一些。”　　秀芬抬头空洞的望着前方，思考再三，觉得如果告诉了父亲，无疑会引起家庭的破裂和加重父亲的病情，除了红军以外，好像再也没有什么人可以倾诉这些烦恼了，她扭头看着红军道：“不是刚才不愿告诉你，确实是家丑难以启齿，我不想说，可又非常憋闷，现在我告诉你，你能为我保守这个秘密吗？”　　红军盯着秀芬的眼睛，用力的点了点头。秀芬再次抽泣起来，哭着诉说了事情的经过。　　红军非常震惊，没想到小说上经常出现的老套情节，竟然真实的发生在秀芬家里。犹豫很久对她说：“叔叔的病那么严重，个人建议还是先隐瞒一阵子，这几天你先让叔叔以治病为理由，把钱转移过来，等病好了，再告诉他真相，破点财离婚算了，她这样的女人，说白了，也不过是叔叔的暂时精神寄托，对你又完全没有后妈的样子，还做出了这样乱*伦之事，叔叔完全没有理由珍惜她，现在闹起来，一旦她拿了钱，消失个一年半载把叔叔的身体拖垮，那可就麻烦了。”　　秀芬考虑一会，觉得也只能这样，轻轻的点了点头，站起身道：“这么晚了，你就在里面的沙发上凑合一夜吧，两个沙发呢，咱俩一人睡一个。”　　红军一看表，都凌晨一点了，怕明天早起赶路耽误了上课，坚持要回去，秀芬打开了门，和红军互道晚安就进去了。　　他刚走没几步打算骑上自行车，忽听房里一阵惊叫，原来秀芬怕开灯后会惊醒父亲，就摸黑往沙发上躺，身下竟然有一个仅穿裤头的男人，秀芬吓得跳了起来失声惊叫。　　红军冲进房间，楚建国也醒了，从卧室出来开灯，明亮的办公室里，只见另一个股东张光凡挺着耷拉下来几乎盖住内库的肚子，个子太矮，仰着头不停的向秀芬和楚建国道歉：“…不好意思，不好意思，和老婆吵了架被赶了出来，想在这里凑合一宿，没想到吓着你们了……”　　张光凡一贯是个武大郎形象，长相奇丑身材矮粗，却偏偏仗着父亲留下的钱财娶了个潘金莲式的貌美老婆，动不动就被赶出家门那是常有的事，楚建国都已经习惯了，见状也没有理由责怪，只是自己和他都穿着裤头着实不雅，赶紧冲秀芬道：“你咋不在家睡觉?又来干啥？快点回去。”　　秀芬拉着红军跑了出来，楚建国在窗口又喊了声：“小伙子晚上就睡这里吧。”　　红军已经骑车载上了秀芬，回头应了一句：“我回学校了叔叔，你早点歇息吧。”　　秀芬这下无家可归了，听从了红军的建议，一起到了学校…门卫老岳在噼噼啪啪的拍门声中，骂骂咧咧的开了门，两人各自回到宿舍去睡了。　　天一亮秀芬就起了床，打算叫辆三轮车返回镇里，路过男宿，想看看红军醒了没。上了二楼，窗户大开着，红军的床就在窗边，轻声打着鼾睡的像条小猪。　　她恶作剧的心思上来，拎开自己手上的一瓶水，挥舞着朝红军身上浇了几下，低身猫腰就跑。　　红军惊醒，扭头一看窗外没人，一脚兔子蹬鹰踹向上铺：“余庆和你个表子又尿床了?”　　正做美梦的余庆和颠勺一样簸了起来，还以为地震了，慌的一批，听见骂声才清醒，赶紧摸了下被窝，发现是干的，恼怒的俯身朝红军扔下一个枕头：“谁特么尿了？就上月尿了一次你天天当笑话是吧?看我今天不揍死你！”　　里面果然传来了咕咕咚咚的角力声，夹杂着“不要个死脸别揪把！”…“给老子放手”等一些叫骂和其他人“打起来打起来”的起哄，秀芬知道他俩是对活宝打不起来，捂嘴偷笑着跑了。　　这些天沉闷的心情，一下因此轻松起来，他哼起了小调暂时忘却了烦恼，在三轮车跳舞似的颠簸中又回到了楚家镇。　　楚建国已经早早起床回家去拿换洗衣服了，自从自己患病，身体消瘦明显，某生活能力日渐消退，本来就大了万清钰二十多岁，早就对这个女人如狼似虎的需求力不从心，又怕万清钰夜里听到自己的呻吟知道患了重病，经常借着工作忙为借口不愿回家。　　楚秀良昨夜害怕父亲回家会扒了自己的皮，半夜跑到县城避难去了，万清钰嘴上恐吓了秀芬一阵子，心里其实挺害怕，天亮才刚睡着，咚的一声房门被打开，吓的一咕噜坐了起来大喘着粗气。　　楚建国问：“秀良呢？楼上没见他人，又跑哪去了?”万清钰以为是回来兴师问罪的，靠床扭头不说话。　　楚建国觉得有些愧疚，坐在床边把万清钰揽在怀里道：“吓着你了吧，忙过这一阵子就好了，白天要处理杂事接待客户，晚上还要去工地上检查忙到深夜，回家太晚怕吵着你睡觉，等空下来，我就天天回家了。”　　万清钰一听，感觉秀芬好像没有把自己的丑事告诉楚建国，悬着的心放下了一点，她假意闭眼嗔怒：“是外面有人了吧？”　　楚建国忙讪笑着：“哪能啊，有这么漂亮的老婆，外面的那些哪里看的上眼……”　　话没说完，万清钰两手勾住楚建国的脖子，此处少儿不宜三万字……　　草草交了作业，楚建国两腿发虚拿着衣服就出了门，连秀芬昨夜为什么没睡在家里都害怕的忘了问，他觉得万清钰简直就是一头发春的母猪，逮住机会就像一台抽水机，嘟嘟嘟…嘟嘟嘟的把自己抽的干干的，他深深的怀疑自己丧妻后娶她的合理性。　　所幸回到公司，见到女儿秀芬的开心相，麻雀一般叽叽喳喳跑前跑后为他端药弄饭，心里安慰了许多。　　白天事多，不时有工地施工负责人进进出出汇报情况，催材料买建材接客户谈业务……　　秀芬没事，就斜靠在沙发上温习功课，一向精明能干的张光凡今天却总是走神，弄得楚建国不停的叫他，也因此更加的忙碌。　　天黑时红军又来了，秀芬虽然早早的准备了他的晚饭，嘴上客气着让他以后别这么远再来给自己补课了，心里却喜滋滋的有种莫名的幸福感。　　晚饭多了张光凡这个人，气氛显得有点局促，草草吃完，秀芬熬好了药就听红军补课，张光凡在另一张沙发上长嘘短叹抽烟，房间里很压抑，两人不方便开些玩笑，一本正经的，也怕耽误张光凡睡觉，所以课程讲的很快。　　秀芬出门时，期待的问父亲：“爸，今天你回家吗?”楚建国道：“你先回去，我陪陪你张叔。”　　秀芬本想让父亲能够带着自己回去，听到这话，也怕父亲回去被万清钰看出了病情，不好勉强，但她实在不想回去面对万清钰。　　喏大的楚家镇，竟没有自己的栖身之地。　　红军看出了秀芬的隐忧，挠挠头：“要不还是和我一起回学校?”　　还真没有其它的地方好去，秀芬“哦”了一声，想去骑走自己的自行车，红军借口来来回回的太累，不由分说载着她就去了学校。　　如此来回了一个多星期，原本指望张光凡能夫妻和好腾出办公室的位置，谁知他回去后，脸上又添了许多血道道，抱着一堆衣服回来了，看他那怀疑人生的样子，恐怕是得长住了。　　秀芬从楚建国那里得知，张光凡是和某个寡妇有染东窗事发才被赶出来的，他家母老虎那可不是一般的凶，与那寡妇已经激战多场事态白热化，不知猴年马月才能回去。　　第一个疗程的药马上吃完了，楚建国也说不上来有没好转，夜里疼痛依然时轻时重，想坚持把第二个疗程吃完看情况，秀芬觉得，既然没什么作用，还是得赶紧手术，父女俩的态度有了分歧。　　那天红军再次补完课，带着秀芬重返校园时，却没了往日说说笑笑，闷头踩着自行车一声不吭。　　秀芬觉得奇怪，正想问话，红军叹了口气：“还有三天就放假了，假期学校是关门的，你还是不想回家吗？”　　秀芬这才惊觉暑假时间到了，可自己确实不想回那个家，期间回去了一次，万清钰一句话都没和她说，铁青着脸摔摔打打着家里的东西，一副见到眼中钉肉中刺的形象，秀芬也无法忘掉那夜所见的场景，加上楚秀良这么久一次没回，让那个家更多了难以接受的耻辱和陌生感。　　红军把车子停了下来，买了支棒冰递给秀芬，努力掩饰自己的激动怯怯道：“要不，你到我家住一阵子，每天有班车，也方便。”　　见秀芬没有回话，他着急了：“你别误会，我以前有个姐姐，十几岁时早夭，空了一个房间，我把咱俩的事都告诉爸妈了，她很欢迎你到我们家去，也就住一阵子，等叔叔的病好了，你再回去。”……　　秀芬也确实想不出更好的办法，点头答应了。住进红军家的那晚，一家人空前的表示了极大的热情，李雨惠烧了一大桌子菜，红军的父亲凌致远也不顾腿伤还没痊愈，架着双拐笑咪咪来到桌上吃饭，一家人拿出了对待未来儿媳的热情款待着秀芬，不停的夹菜送到秀芬碗里，让这个失去母亲的孩子幸福满满，一度流下了感动的眼泪。　　吃过晚饭，红军兴奋难耐，说要带着秀芬去看看这山里的夜色，秀芬也非常享受这份家的安定和山里的宁静，欣然陪着红军一起在这静谧的大山沟里走着……　　陌生的环境让秀芬有了短暂的轻松，山沟沟里所有的一切都和楚家镇完全不同，掐着野花，追着流萤，从齐着膝盖的秧田埂边一路听着蛙鸣，秀芬完全忘却了所有的烦恼，在红军的牵引呵护下，幸福的就像个小公主……　　月色中来到了一大片荷塘边，小荷初露，暗香浮动，水面波光如镜，清凉的山风不时拂动重重叠叠的荷叶，沙沙的响声不绝于耳…　　在一片透着星星点点月光的树影下，有一条长长的大青石，两人坐在了那里，红军出神的望着月色下的池塘，动情的对秀芬道：“小时候，外婆住在我家照顾我和姐姐，经常会带我俩来这里玩，所以我对这片荷塘有很深的感情，看见这荷塘我就像看见了外婆，可惜她已经去世了。我刚刚学会了一首歌，叫《弯弯的月亮》，每次听见，就像外婆坐在我身边一样，你会唱吗？要不我唱给你听?”　　秀芬也只听过一两次，失去母亲后苦闷的生活早就让她失去了学歌的兴致，听到红军说起了自己的外婆，忽然想起了母亲小时候带着自己在小溪边玩耍嬉戏的场景，自己那时虽然是个身患重病遭人遗弃的孩子，可楚建国夫妇捡回后并没嫌弃，辗转奔波了几个医院，做了一台又一台手术为自己捡回了一条命，母亲一次又一次的鼓励自己要坚强，一次又一次的牵着自己在溪边奔跑歌唱……　　童年的一幕一幕又浮现在自己眼前，如今，母亲不在，父亲又身染重病，秀芬深陷痛苦难过之中，当即止不住的眼泪流了下来。　　树影下光线较暗，红军并没发现秀芬在伤心难过，依然沉浸在往事里，他轻声哼唱起了那首《弯弯的月亮》：“遥远的夜空，有一个弯弯的月亮，弯弯的月亮的下面，是那弯弯的小桥……”　　悠美绵软的歌声，深远空旷的意境，两人各自陶醉在无尽的回忆和怀念之中，眼前浮现着外婆佝偻的身躯和母亲慈详的笑容，秀芬也不自觉的跟着红军一起轻唱起来，泪水打湿了衣襟……
空城旧梦她与伞,表哥来看我和儿子，不肯坐沙发，拿了个小凳子，靠着门坐着，闷着头抽烟，话也很少说。可能是见我老公不在，避 嫌吧。儿子玩回来，看到表哥，在门外探头探脑的，不敢进来。表哥把烟头扔在地上，用脚踩熄，笑着伸出手：乐乐(儿子小名)，来，舅舅抱抱！儿子摇着头，一个劲的往后退。我把手中正织着的毛线衣放在沙发上，跑出去把他抱回来：他是你舅舅！来，喊舅舅！儿子看看表哥，看见表哥也在看他，赶紧回过头，把脸藏在我怀里：妈妈，这个舅舅，不像个好人！​表哥摸着刮得锃亮的脑袋，哭笑不得。我正想骂儿子呢，老公回来了，看到表哥，愣了一下：表哥，怎么是你？！我骂他不会说话。老公很委屈：有朋友打电话给我，说我们家来了个和 尚，我就寻思回来看看，哪想到是表哥啊？！
空城旧梦她与伞,那年那人那山第三十五章：杯水车薪虽然定好了日期，也定好了要去比内地工资高出很多的经济发达南方沿海城市，但怎么告别，一直是个萦绕在秀芬和楚建国心头的难事。　　楚建国想在女儿面前表现的刚强起来，努力的思考怎样才能让稚嫩瘦弱的女儿觉得自己并没有伤心难过，怎样才能控制情绪不要流下眼泪，让女儿能轻松的离家。　　秀芬在考虑怎样才能减轻父亲和自己分离的痛苦，怎么才能让这次沉重的无奈生离变得轻描淡写……　　她没有好的法子，拉着红军在外走了一阵，让红军帮自己想个办法，红军思考了一会儿，想出了个避重就轻的主意……　　晚饭吃的早，返回病房后，也就六点多，秀芬叫出了秀良，再一次重复了照顾父亲要注意的事项，告诫他不要乱跑，自己会每天打医生办公室电话了解情况，又把早就写好的一张纸及为数不多的生活费交给了秀良，纸上详细的记录了父亲饮食喜好，以及化疗必须要买的减缓刺激药物。　　交待完毕，秀芬才进了病房，握着楚建国的手，按照红军的主意怯懦的对父亲道：“爸，明天我和红军就要走了，红军还没回家和他爸妈说，我的衣服也都在红军家里，现在回去拿一下，明天从他那里直接坐车就走了。”　　楚建国愣了下：“你什么时候住他家里了?”　　秀芬见楚建国关注的重点果然有了转移，笑着解释：“他姐姐有个房间空着，我住进去很长时间了。”　　楚建国暗怪自己大意，女儿睡在别人家里很久，都没觉察到，他有点不大相信秀芬和红军没有睡在一起，想想女儿才17岁，一时有点接受不了。　　木已成舟，又有什么办法，他苦笑一声：“你们注意一点，以后还得考大学呢！”　　秀芬刚在发愣要注意什么，做表资还要立牌坊的秀良已经怒气冲冲了：“爸是叫你们小心点，别怀孕了！”　　秀芬忙道：“没有啊！……”楚建国见旁边病床都停下了手头上的事像按了暂停键，怕说多了传成家丑，打断秀芬道：“明天路上小心点，到了那边有没有找到工作都要来个电话，别让爸担心！”　　秀芬连连点头，感觉抑制不住眼泪，不敢多说，对父亲道：“那我们先走了，晚了赶不上去阿坝的最后一班车了。”　　红军所在的硚头镇虽然距楚家镇不太远，却隶属于阿坝县，楚建国笑着点了点头：“去吧，爸身子软，就不送你们了。”　　秀芬低头小声的说了句：“那…我走了。”见父亲没有吱声，她松开父亲的手，停留了几秒，对着红军道：“走吧。”　　在红军和建国的道别声中，秀芬走出了房门，她没敢回头，怕一旦转身会抑制不住的放声大哭。　　到了楼梯口，秀芬流着眼泪停了下来站着不动，红军问：“咋了？”忽然觉得这句话问的好多余，也停在那里了。　　秀芬没有理他，转身悄悄的溜到病房窗口朝里偷看，秀良正低头坐在床沿凳子上，两肘架着膝盖，两手插进一头卷发中抱头不语，楚建国拉上了被子蒙住了整个头和身躯，被子无声而剧烈的抖动着。　　秀芬一下用手捂住了嘴，转身快速的顺着楼梯跑下了楼，失声哭泣起来……　　辗转换车回到了红军家，李雨惠夫妻听到儿子和秀芬要去南方务工的消息，一时说不出话，随即又忙着说也好，又能挣点钱又能缎炼一下生存能力，让秀芬放心，虽然暂时没有大钱支持，但生活费一定会帮她凑，让他俩在外好好干。　　说完这些，李雨惠就忙活去厨房，煮些鸡蛋之类的让红军秀芬明天带走，红军也忙着收拾自己的行李。　　凌致远进屋对红军道：“你俩都还是个孩子，出门都需要照顾，就住一起吧，还能省点钱。”　　红军转身瞪了他一眼，凌致远感觉无趣，讪讪的退了出来……　　…一路辗转坐上了火车，望着窗外不断飞逝的风景，听着列车不停换轨发出的喀喀嚓嚓声，秀芬才有了时间静下心想自己的事。　　她望着靠在自己肩头深深熟睡的红军，觉得自己真的对不起他，凭白无故失却了清白女儿身，他蒙在鼓里却什么都不知道。　　被辱那天，秀芬是真的要执意分手，可当时事情太多，一件接着一件，完全没有时间去割舍斩断这件感情，况且，她毕竟只是个17岁的孩子，一个人根本无力去承担和面对那么多的事，她也需要依靠，需要一个可以依附终生的人为她分忧解难。　　感情这东西，一旦真心相爱，也不是说分马上就能分的，正因为爱的甜蜜幸福，才会有分的伤痛和不舍，秀芬也和天下所有受害失贞的女子一样，也有着被动失身的无奈，也有着忍受愧疚想隐瞒一切的念头。　　事发那么多天了，秀芬已经从当时分手的冲动中冷静了下来，她现在无瑕也无力去考虑和红军分手，深深的爱恋让她没有勇气去面对会失去红军的结局。　　她俯下头，把脸斜靠在红军头上，两手轻轻的抱住红军的肩头，无声的啜泣着，任由眼泪不停的滑落……　　深圳，这个被邓爷爷亲手在祖国版图上画了个圈圈，作为新中国第一个经济特区的城市，是秀芬和红军此次出行的目的地。　　如火如荼在建的城市脏乱无比，到处是施工的工地、在建的大厦，和满大街带着滚滚灰尘奔跑的黄沙水泥车辆。　　这座飞速在建的城市，需要大量的工人，到处贴满了招工的广告，用工荒让所有行业都在利润允许的范围恶性竞争，工资被架到了是内地两倍甚至是三倍的高度，这也是秀芬选择这里，放弃在老家城市务工可以照看父亲的原因。　　刚下火车出站，一大拨招工的人拿着招工简介围了上来，边走边开出各种条件来拉人，一些服务态度更好的，都开始用手去争抢帮两人去拿行李了。　　秀芬和红军还是想自己到外面找找，转了一圈，发现两人没什么技术，很多活虽然工资很高，却需要经历一到两个月甚至更漫长的低薪学徒期。　　治病筹钱的紧迫感，让两人放弃了可持续发展有光明前途的工种，红军选择了又苦又累的建筑工地，并坚决拒绝了秀芬要一起去工地干活的要求，把秀芬送进了离工地不远的饭店做洗杀工。　　这对还未达到成年标准的孩子，一个在工地挥汗如雨拼命搬砖推沙铲石子，干着力不能及的活，一个在饭馆强忍恐惧，用剪刀在给一只只山里从未见过的硕大牛蛙活生生剪头剥皮开膛破肚，从上午九点开始奋战到凌晨一点，洗着如山堆积的盘子……　　试用期三天过去了，秀芬被正式录用，既想报个喜，又关心着父亲病情的秀芬，决定去隔壁小店给医院打个电话。　　那边是楚秀良接的，他焦急的问：“妹啊，赚到钱没有啊?爸刚做了化疗，放疗也在做，帐上只有三千块了，医生说下次再做钱就不够了！”　　秀芬忙劝哥哥别急，说找到工作了，又问：“爸怎么样了？”　　秀良压低声音道：“爸一天一夜没吃饭了，总是吐，还发高烧，眼睛都塌进去好多！我怕他拖不了多久，头发成把成把的掉……”　　秀芬急了：“为什么不打那个减缓肠胃刺激的药?有没问医生为什么脱发？有什么办法没有?”　　秀良道：“爸说那药太贵了，不愿用，我也问了医生，说脱发是化疗副作用，想减缓要么换进口药要么打些调理的针剂，五六千一个疗程还不包好呢。”　　秀芬失声痛哭，秀良着急的问：“喂…喂…什么时候能有钱？阿丽说再有一个月就牛郎织女见面了，想要一条裙子呢！……”　　秀芬呯的挂了电话，大哭着蹲在了小店门口，不一会一个满脸横肉肥胖的中年妇女从饭店里出来喊道：“秀芬！你打完了没有啊?我们都忙死了！”……　　红军夜以继日的干活，下雨天也不闲着，去做些排水疏漏的工作，瘦弱而顽强的身体如一台永不疲倦的发动机，从不停歇，每次深夜下班，还不辞劳累来看秀芬，被太阳烤干体液晒的漆黑，枯瘦的如同一张人皮包裹着骨架。　　秀芬很心疼，又腾不出钱来给他买吃的，所幸老板娘刀子嘴豆腐心，默默的把客人没弄进酒水的剩余荤菜倒在一个干净桶里，下班时老板大火烧开消个毒，让秀芬用塑料桶提个半桶过去。　　他俩坐到楼顶上，用勺子盛到饭盒里，你一盒我一盒，幸福而又甜滋滋的吃着……　　转眼第三次化疗来到，秀芬和红军支取了一共六百多元的工资，打到了医院帐户上，李雨惠也去学校和亲戚处东拼西凑借了两千多，放疗暂停，也只是勉强凑够了这次化疗的钱…　　治疗结束的当晚，秀芬正在闷热的后厨洗盘子，小卖部老板娘来喊：“秀芬，你的电话。”　　是秀良打来的，刚一接通，秀良就紧张的告诉她：“医生说费用已经全部没有了，说我们不续费就把床位安排给别人！……”　　秀芬想哭，却没了眼泪，或许是觉得眼泪再也解决不了问题，她哽咽了一下问：“那怎么办？”　　秀良愣了一下：“什么怎么办?我哪知道怎么办？不都是你在想办法吗?”　　秀芬无助的沉默了一会，在楚秀良焦急的“喂…喂…”声中，小声说了句：“我知道了。”就挂了电话。　　从哪里弄钱？该怎么办?秀芬一边用卷到手肘上的袖子擦着汗洗盘子，一边在想着还有哪里能弄到钱，但她实在找不到可以帮她的人了……
